ranking,lon,lat,company,industry,state,city
413,-122.332,47.6062,Expeditors International of Washington,Transportation and Logistics,WA,Seattle
414,-84.512,39.1031,Omnicare,Health Care: Pharmacy and Other Services,OH,Cincinnati
415,-84.4173,39.3321,AK Steel Holding,Metals,OH,West Chester
416,-84.512,39.1031,Fifth Third Bancorp,Commercial Banks,OH,Cincinnati
417,-94.7152,39.0228,Seaboard,Food Production,KS,Shawnee Mission
418,-87.3328,41.4828,NiSource,Utilities: Gas and Electric,IN,Merrillville
419,-73.4821,40.7443,Cablevision Systems,Telecommunications,NY,Bethpage
420,-87.7878,42.0698,Anixter International,Wholesalers: Diversified,IL,Glenview
421,-73.4082,41.1177,EMCOR Group,Engineering  Construction,CT,Norwalk
422,-81.6557,30.3322,Fidelity National Information Services,Financial Data Services,FL,Jacksonville
423,-74.0059,40.7128,Barnes & Noble,Specialty Retailers: Other,NY,New York
424,-95.3698,29.7604,KBR,Engineering  Construction,TX,Houston
425,-84.5555,42.7325,Auto-Owners Insurance,Insurance: Property and Casualty (Mutual),MI,Lansing
426,-90.4329,38.6009,Jones Financial,Securities,MO,Des Peres
427,-118.255,34.1425,Avery Dennison,Chemicals,CA,Glendale
428,-122.036,37.3688,NetApp,Computer Peripherals,CA,Sunnyvale
429,-98.4936,29.4241,iHeartMedia,Entertainment,TX,San Antonio
430,-77.0261,38.9907,Discovery Communications,Entertainment,MD,Silver Spring
431,-87.9065,43.0389,Harley-Davidson,Transportation Equipment,WI,Milwaukee
432,-121.886,37.3382,Sanmina,Semiconductors and Other Electronic Components,CA,San Jose
433,-96.797,32.7767,Trinity Industries,Transportation Equipment,TX,Dallas
434,-94.1308,36.2554,J.B. Hunt Transport Services,Trucking  Truck Leasing,AR,Lowell
435,-122.419,37.7749,Charles Schwab,Securities,CA,San Francisco
436,-80.0851,42.1292,Erie Insurance Group,Insurance: Property and Casualty (Stock),PA,Erie
437,-96.6989,33.0198,Dr Pepper Snapple Group,Beverages,TX,Plano
438,-90.1994,38.627,Ameren,Utilities: Gas and Electric,MO,St. Louis
439,-118.416,33.9192,Mattel,Toys  Sporting Goods,CA,El Segundo
440,-79.4378,36.0957,Laboratory Corp. of America,Health Care: Pharmacy and Other Services,NC,Burlington
441,-77.1773,38.9339,Gannett,Publishing  Printing,VA,McLean
